"Airport.Code","Airport.Name","Time.Label","Time.Month","Time.Month Name","TimeYear","Statistics.# of Delays.Carrier","Statistics.# of Delays.Late Aircraft","Statistics.# of Delays.National Aviation System","Statistics.# of Delays.Security","Statistics.# of Delays.Weather","Statistics.Carriers.Names","Statistics.Carriers.Total","Statistics.Flights.Cancelled","Statistics.Flights.Delayed","Statistics.Flights.Diverted","Statistics.Flights.On Time","Statistics.Flights.Total","Statistics.Minutes Delayed.Carrier","Statistics.Minutes Delayed.Late Aircraft","Statistics.Minutes Delayed.National Aviation System","Statistics.Minutes Delayed.Security","Statistics.Minutes Delayed.Total","Statistics.Minutes Delayed.Weather"
"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","2012/01","1","January","2012","961","1548","2023","2","105","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.","11","242","4638","78","26393","31351","84985","106917","76563","53","278002","9484"
"BOS","Boston, MA: Logan International","2012/01","1","January","2012","375","401","435","7","36","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","12","107","1254","12","6855","8228","19527","25261","14010","163","60994","2033"
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","2012/01","1","January","2012","259","348","258","0","21","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","9","57","887","23","6916","7883","14223","18234","7742","4","41997","1794"
"CLT","Charlotte, NC: Charlotte Douglas International","2012/01","1","January","2012","326","398","564","2","23","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.","10","107","1313","9","9631","11060","17376","20793","19884","85","59880","1742"
"DCA","Washington, DC: Ronald Reagan Washington National","2012/01","1","January","2012","228","203","297","2","32","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.","11","134","761","23","4724","5642","12361","11169","10910","60","36803","2303"
"DEN","Denver, CO: Denver International","2012/01","1","January","2012","608","1058","827","1","78","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","13","178","2570","11","16227","18986","34950","62835","30073","39","134760","6863"
"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","2012/01","1","January","2012","591","939","863","5","113","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Mesa Airlines Inc.","11","387","2508","57","18206","21158","51211","51615","30316","190","141817","8485"
"DTW","Detroit, MI: Detroit Metro Wayne County","2012/01","1","January","2012","282","323","332","0","24","American Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","11","79","965","12","5845","6901","19989","19349","10690","11","51869","1830"
"EWR","Newark, NJ: Newark Liberty International","2012/01","1","January","2012","353","482","1111","1","263","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","10","165","2209","9","6771","9154","25229","33063","54461","31","132603","19819"
"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","2012/01","1","January","2012","295","249","273","1","27","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","10","18","845","7","4948","5818","14847","17269","8414","16","41745","1199"
"IAD","Washington, DC: Washington Dulles International","2012/01","1","January","2012","273","390","234","0","22","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","10","101","916","8","4756","5781","14739","25591","6879","0","48800","1591"
"IAH","Houston, TX: George Bush Intercontinental/Houston","2012/01","1","January","2012","519","659","714","2","84","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.","8","166","1976","41","11480","13663","36181","42342","32406","127","120950","9894"
"JFK","New York, NY: John F. Kennedy International","2012/01","1","January","2012","333","364","378","1","23","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America","8","51","1099","6","6451","7607","20807","22368","12809","55","57444","1405"
"LAS","Las Vegas, NV: McCarran International","2012/01","1","January","2012","365","483","375","5","48","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","13","84","1274","13","9923","11294","19055","28544","13177","149","64406","3481"
"LAX","Los Angeles, CA: Los Angeles International","2012/01","1","January","2012","678","959","606","4","78","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","14","211","2324","20","15276","17831","43263","60474","19652","119","129142","5634"
