source,target
0,1794
0,3102
0,16645
0,23490
0,42128
0,3822
0,9555
0,18602
0,14473
0,25929
0,47676
0,9667
0,29643
0,15705
1,43397
1,45983
1,38922
1,20270
1,3263
1,24430
1,44763
1,5954
1,29552
1,3823
1,41735
1,16872
1,27226
1,9340
1,25858
1,874
1,2334
1,19558
1,2980
1,1888
1,19514
1,28792
1,34597
1,44308
1,38357
1,6970
1,20781
1,39755
1,5566
1,14240
1,21905
1,36768
1,46836
1,3247
1,35115
1,20676
1,31097
1,41316
1,45965
1,16399
1,35746
1,25433
1,31480
1,48424
1,35389
1,23635
3,4874
3,18299
3,3188
3,15016
3,35408
3,5408
3,32007
3,27267
3,28118
3,34742
3,17541
3,32374
3,42459
3,49407
3,3024
3,14393
3,36589
3,42161
3,30093
3,31788
3,43388
3,32220
3,31149
3,29153
3,37098
3,46074
3,24020
3,15912
3,11234
3,36843
4,7680
4,14169
4,20987
4,2419
4,32478
4,5237
4,26072
4,9695
4,559
4,22816
16343,8421
16343,26927
16343,16103
16343,4585
16343,43826
16343,12782
16343,25412
16343,21503
16343,32521
16343,10808
16343,43843
16343,47202
16343,10034
16343,5817
16343,19172
16343,12328
16343,24622
16343,23844
16343,41415
16343,41417
16343,35692
16343,23850
16343,36445
16343,13818
16343,7685
16343,11570
16343,17081
16343,26453
16343,32547
16343,16459
16343,22369
16343,35257
16343,40635
16343,12366
16343,28554
16343,38989
16343,26996
16343,6968
16343,11204
16343,18818
16343,23109
16343,44742
16343,9316
16343,20783
16343,48026
16343,36511
16343,39014
16343,43102
16343,31022
16343,47823
16343,42287
16343,12885
16343,23137
16343,16197
16343,13137
16343,32614
16343,25515
16343,47311
16343,21595
16343,5512
16343,25523
16343,37390
16343,2386
16343,2390
16343,8389
16343,21612
16343,8549
16343,44657
16343,27821
16343,24727
16343,46493
16343,7021
16343,39058
16343,43975
16343,15257
16343,27844
16343,46515
16343,41721
16343,36571
16343,48182
16343,5556
16343,8630
16343,25562
16343,18506
16343,16258
16343,44828
16343,20109
16343,41543
16343,3239
16343,39913
16343,33485
16343,45687
16343,18511
16343,1419
16343,44957
16343,20124
16343,17215
16343,167
16343,30300
16343,23996
16343,48217
16343,38464
16343,49906
16343,27888
16343,19362
16343,1733
16343,42219
16343,15531
16343,40251
16343,34280
16343,39130
16343,17770
16343,10904
16343,30660
16343,49936
16343,39082
16343,10047
16343,27137
16343,43598
16343,31936
16343,12520
16343,46598
16343,48260
16343,8654
16343,39158
16343,38330
16343,26414
16343,17045
16343,226
16343,35096
16343,2513
16343,2514
16343,14829
16343,1018
16343,34061
16343,39185
16343,19419
16343,15380
16343,21742
16343,49987
16343,8690
16343,43283
16343,3345
16343,29581
16343,45788
16343,13298
16343,1799
16343,21758
16343,7922
16343,1806
16343,4861
16343,7929
16343,3358
16343,8711
16343,34360
16343,18634
16343,2568
16343,21779
16343,7292
16343,44969
16343,11828
16343,29582
16343,24110
16343,31245
16343,8202
16343,23335
16343,9532
16343,48347
16343,29472
16343,20972
16343,30435
16343,40962
16343,4145
16343,40918
16343,30446
16343,40922
16343,39349
16343,21816
16343,13353
16343,21035
16343,8758
16343,20264
